"SupplierA","SupplierB"
20.697804443864,18.1023933424716
18.335765304741,19.9624024800576
20.4904740136331,17.1083456918067
19.5485747642529,18.6816613062302
17.9086136274342,20.1558443705017
20.2710546650418,18.127117200507
20.7671786168626,18.871305889845
21.2353711773693,19.0298388728648
20.8283607761727,19.2861434273312
19.9140756828917,19.1761176152815
18.3451954687733,19.6744602755609
21.014383267503,18.4931137128046
21.0485343402098,17.9986335102431
19.5499873700761,18.2510869450607
21.1611406255701,18.1276189268698
19.9540631922291,18.6903555318288
20.8471576766942,18.7138357633722
22.2174349029479,17.0736493253552
20.000593470422,19.457512087601
20.2679326318207,18.775840346565
18.6829795335788,19.391580818044
19.0471000326784,19.834171558493
18.2841770537945,20.0694389336919
19.5166621656995,19.8576470484506
19.2585008693938,19.8124610555816
20.5709171761587,19.0140745198687
18.4159923466409,20.1075758663696
18.6137484170878,20.4574718123193
20.6436301395395,18.3969045225663
20.7352646656386,18.1171990844716
